"Part","MPN","Value","Case/Size","Amount","Digikey","Mouser","Farnell"
"Microcontroller","PIC16F18326-I/SL",,"SOIC-14",1,"PIC16F18326-I/SL-ND","579-PIC16F18326-I/SL",2774992
"Capacitor",,"0.1uF / 25V","0805",1,,,
